Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-12 09:15:00+05:30,114.61000061035156,114.61000061035156,114.0199966430664,114.22000122070312,0,0.0,0.0
2024-08-12 09:16:00+05:30,114.2300033569336,114.25,114.05000305175781,114.05000305175781,189248,0.0,0.0
2024-08-12 09:17:00+05:30,114.0999984741211,114.2300033569336,114.0999984741211,114.19999694824219,77377,0.0,0.0
2024-08-12 09:18:00+05:30,114.19000244140625,114.19000244140625,113.8499984741211,113.9800033569336,294832,0.0,0.0
2024-08-12 09:19:00+05:30,113.95999908447266,114.0999984741211,113.9000015258789,114.05000305175781,111698,0.0,0.0
2024-08-12 09:20:00+05:30,114.04000091552734,114.36000061035156,114.0,114.36000061035156,133638,0.0,0.0
2024-08-12 09:21:00+05:30,114.56999969482422,114.56999969482422,114.48999786376953,114.5,221767,0.0,0.0
2024-08-12 09:22:00+05:30,114.55000305175781,114.63999938964844,114.5199966430664,114.5199966430664,135208,0.0,0.0
2024-08-12 09:23:00+05:30,114.5199966430664,114.6500015258789,114.48999786376953,114.48999786376953,166430,0.0,0.0
2024-08-12 09:24:00+05:30,114.5199966430664,114.5199966430664,114.3499984741211,114.3499984741211,89658,0.0,0.0
2024-08-12 09:25:00+05:30,114.3499984741211,114.44999694824219,114.3499984741211,114.41000366210938,61746,0.0,0.0
2024-08-12 09:26:00+05:30,114.4000015258789,114.4000015258789,114.11000061035156,114.19999694824219,167209,0.0,0.0
2024-08-12 09:27:00+05:30,114.19999694824219,114.41000366210938,114.19999694824219,114.41000366210938,74765,0.0,0.0
2024-08-12 09:28:00+05:30,114.3499984741211,114.37999725341797,114.16000366210938,114.37999725341797,99231,0.0,0.0
2024-08-12 09:29:00+05:30,114.45999908447266,114.5,114.4000015258789,114.45999908447266,84461,0.0,0.0
2024-08-12 09:30:00+05:30,114.44000244140625,114.55000305175781,114.44000244140625,114.55000305175781,74486,0.0,0.0
2024-08-12 09:31:00+05:30,114.51000213623047,114.58999633789062,114.4000015258789,114.5,62091,0.0,0.0
2024-08-12 09:33:00+05:30,114.44000244140625,114.44000244140625,114.4000015258789,114.4000015258789,124982,0.0,0.0
2024-08-12 09:34:00+05:30,114.4000015258789,114.4000015258789,114.27999877929688,114.27999877929688,62632,0.0,0.0
2024-08-12 09:35:00+05:30,114.30000305175781,114.33000183105469,114.30000305175781,114.33000183105469,49766,0.0,0.0
2024-08-12 09:36:00+05:30,114.33999633789062,114.5,114.31999969482422,114.47000122070312,41851,0.0,0.0
2024-08-12 09:37:00+05:30,114.43000030517578,114.4800033569336,114.43000030517578,114.44000244140625,44496,0.0,0.0
2024-08-12 09:38:00+05:30,114.30000305175781,114.30000305175781,114.20999908447266,114.27999877929688,57808,0.0,0.0
2024-08-12 09:39:00+05:30,114.25,114.4000015258789,114.19999694824219,114.4000015258789,44020,0.0,0.0
2024-08-12 09:40:00+05:30,114.5,114.54000091552734,114.5,114.54000091552734,62919,0.0,0.0
2024-08-12 09:41:00+05:30,114.52999877929688,114.58999633789062,114.52999877929688,114.58999633789062,42992,0.0,0.0
2024-08-12 09:42:00+05:30,114.56999969482422,114.58999633789062,114.55000305175781,114.55999755859375,43680,0.0,0.0
2024-08-12 09:43:00+05:30,114.5,114.52999877929688,114.5,114.52999877929688,50130,0.0,0.0
2024-08-12 09:44:00+05:30,114.54000091552734,114.5999984741211,114.54000091552734,114.54000091552734,23401,0.0,0.0
2024-08-12 09:45:00+05:30,114.58000183105469,114.62999725341797,114.45999908447266,114.45999908447266,67265,0.0,0.0
2024-08-12 09:46:00+05:30,114.5,114.5,114.45999908447266,114.48999786376953,20046,0.0,0.0
2024-08-12 09:47:00+05:30,114.43000030517578,114.47000122070312,114.25,114.26000213623047,223208,0.0,0.0
2024-08-12 09:48:00+05:30,114.19999694824219,114.29000091552734,114.19999694824219,114.29000091552734,91210,0.0,0.0
2024-08-12 09:49:00+05:30,114.29000091552734,114.33000183105469,114.25,114.33000183105469,27853,0.0,0.0
2024-08-12 09:50:00+05:30,114.31999969482422,114.38999938964844,114.26000213623047,114.26000213623047,47421,0.0,0.0
2024-08-12 09:51:00+05:30,114.25,114.31999969482422,114.25,114.25,17381,0.0,0.0
2024-08-12 09:52:00+05:30,114.29000091552734,114.3499984741211,114.25,114.29000091552734,39196,0.0,0.0
2024-08-12 09:53:00+05:30,114.25,114.25,114.0999984741211,114.0999984741211,159761,0.0,0.0
2024-08-12 09:54:00+05:30,114.11000061035156,114.16000366210938,114.08999633789062,114.12999725341797,57040,0.0,0.0
2024-08-12 09:55:00+05:30,114.0999984741211,114.0999984741211,114.06999969482422,114.0999984741211,31272,0.0,0.0
2024-08-12 09:56:00+05:30,114.04000091552734,114.0999984741211,114.0,114.0,155938,0.0,0.0
2024-08-12 09:57:00+05:30,114.0,114.05000305175781,113.94999694824219,113.94999694824219,185649,0.0,0.0
2024-08-12 09:58:00+05:30,113.9800033569336,114.0,113.91000366210938,113.91000366210938,86274,0.0,0.0
2024-08-12 09:59:00+05:30,113.98999786376953,114.0999984741211,113.98999786376953,114.08000183105469,64666,0.0,0.0
2024-08-12 10:00:00+05:30,114.16999816894531,114.19000244140625,114.11000061035156,114.12000274658203,48545,0.0,0.0
2024-08-12 10:01:00+05:30,114.18000030517578,114.18000030517578,114.05999755859375,114.05999755859375,47350,0.0,0.0
2024-08-12 10:02:00+05:30,114.05000305175781,114.16000366210938,114.05000305175781,114.0999984741211,123341,0.0,0.0
2024-08-12 10:03:00+05:30,114.05000305175781,114.12000274658203,114.05000305175781,114.0999984741211,37086,0.0,0.0
2024-08-12 10:04:00+05:30,114.08999633789062,114.0999984741211,114.05000305175781,114.0999984741211,26163,0.0,0.0
2024-08-12 10:05:00+05:30,114.08000183105469,114.0999984741211,114.06999969482422,114.0999984741211,22820,0.0,0.0
2024-08-12 10:06:00+05:30,114.08999633789062,114.13999938964844,114.06999969482422,114.13999938964844,20346,0.0,0.0
2024-08-12 10:07:00+05:30,114.0999984741211,114.16000366210938,114.0999984741211,114.16000366210938,54983,0.0,0.0
2024-08-12 10:08:00+05:30,114.16000366210938,114.30999755859375,114.16000366210938,114.30000305175781,78690,0.0,0.0
2024-08-12 10:09:00+05:30,114.30999755859375,114.48999786376953,114.30999755859375,114.41999816894531,89122,0.0,0.0
2024-08-12 10:10:00+05:30,114.45999908447266,114.45999908447266,114.4000015258789,114.4000015258789,39625,0.0,0.0
2024-08-12 10:11:00+05:30,114.41999816894531,114.41999816894531,114.30000305175781,114.30999755859375,14908,0.0,0.0
2024-08-12 10:12:00+05:30,114.30999755859375,114.30999755859375,114.25,114.30999755859375,13787,0.0,0.0
2024-08-12 10:13:00+05:30,114.38999938964844,114.5,114.38999938964844,114.45999908447266,49862,0.0,0.0
2024-08-12 10:14:00+05:30,114.41000366210938,114.47000122070312,114.41000366210938,114.41999816894531,13889,0.0,0.0
2024-08-12 10:15:00+05:30,114.41999816894531,114.41999816894531,114.36000061035156,114.37999725341797,32865,0.0,0.0
2024-08-12 10:16:00+05:30,114.37999725341797,114.47000122070312,114.37999725341797,114.47000122070312,48080,0.0,0.0
2024-08-12 10:17:00+05:30,114.5,114.7699966430664,114.44999694824219,114.7699966430664,155112,0.0,0.0
2024-08-12 10:18:00+05:30,114.79000091552734,114.79000091552734,114.66999816894531,114.66999816894531,54035,0.0,0.0
2024-08-12 10:19:00+05:30,114.69999694824219,114.79000091552734,114.69000244140625,114.79000091552734,33193,0.0,0.0
2024-08-12 10:20:00+05:30,114.76000213623047,114.93000030517578,114.76000213623047,114.93000030517578,48342,0.0,0.0
2024-08-12 10:21:00+05:30,114.87999725341797,114.9000015258789,114.80000305175781,114.83999633789062,52449,0.0,0.0
2024-08-12 10:22:00+05:30,114.83999633789062,114.83999633789062,114.77999877929688,114.77999877929688,90755,0.0,0.0
2024-08-12 10:23:00+05:30,114.80000305175781,114.80000305175781,114.70999908447266,114.7699966430664,44705,0.0,0.0
2024-08-12 10:24:00+05:30,114.70999908447266,114.73999786376953,114.69999694824219,114.69999694824219,26021,0.0,0.0
2024-08-12 10:25:00+05:30,114.66999816894531,114.69999694824219,114.66000366210938,114.66999816894531,20163,0.0,0.0
2024-08-12 10:26:00+05:30,114.69999694824219,114.7699966430664,114.68000030517578,114.75,19810,0.0,0.0
2024-08-12 10:27:00+05:30,114.77999877929688,114.77999877929688,114.70999908447266,114.70999908447266,20621,0.0,0.0
2024-08-12 10:28:00+05:30,114.70999908447266,114.76000213623047,114.70999908447266,114.70999908447266,21840,0.0,0.0
2024-08-12 10:29:00+05:30,114.69999694824219,114.70999908447266,114.66000366210938,114.68000030517578,15525,0.0,0.0
2024-08-12 10:30:00+05:30,114.69999694824219,114.80000305175781,114.69999694824219,114.7699966430664,39536,0.0,0.0
2024-08-12 10:31:00+05:30,114.80000305175781,114.80000305175781,114.7699966430664,114.7699966430664,18779,0.0,0.0
2024-08-12 10:32:00+05:30,114.88999938964844,114.88999938964844,114.7699966430664,114.8499984741211,81119,0.0,0.0
2024-08-12 10:33:00+05:30,114.79000091552734,114.91000366210938,114.79000091552734,114.91000366210938,59202,0.0,0.0
2024-08-12 10:34:00+05:30,114.91999816894531,114.91999816894531,114.83999633789062,114.91999816894531,50776,0.0,0.0
2024-08-12 10:35:00+05:30,114.91000366210938,115.25,114.91000366210938,115.25,300557,0.0,0.0
2024-08-12 10:36:00+05:30,115.20999908447266,115.31999969482422,115.16999816894531,115.25,82591,0.0,0.0
2024-08-12 10:37:00+05:30,115.2300033569336,115.25,115.1500015258789,115.18000030517578,39984,0.0,0.0
2024-08-12 10:38:00+05:30,115.16000366210938,115.19999694824219,115.1500015258789,115.18000030517578,62886,0.0,0.0
2024-08-12 10:39:00+05:30,115.19999694824219,115.31999969482422,115.19999694824219,115.31999969482422,88395,0.0,0.0
2024-08-12 10:40:00+05:30,115.30999755859375,115.41999816894531,115.30999755859375,115.37999725341797,121086,0.0,0.0
2024-08-12 10:41:00+05:30,115.37000274658203,115.51000213623047,115.30000305175781,115.44000244140625,252781,0.0,0.0
2024-08-12 10:42:00+05:30,115.44000244140625,115.58999633789062,115.44000244140625,115.58999633789062,78050,0.0,0.0
2024-08-12 10:43:00+05:30,115.5999984741211,115.80000305175781,115.58999633789062,115.76000213623047,238120,0.0,0.0
